_id,ltable_id,rtable_id,ltable_title,ltable_year,ltable_mpaa,ltable_runtime,ltable_genres,ltable_director,ltable_stars,ltable_gross,rtable_title,rtable_year,rtable_mpaa,rtable_runtime,rtable_genres,rtable_director,rtable_stars,rtable_gross,gold
17546,1794,35,The Abominable Dr. Phibes,1971,PG-13,94 min,"Comedy, Horror",Robert Fuest,"Vincent Price,Joseph Cotten,Hugh Griffith,Terry-Thomas",-1,The Hospital,1971,PG-13,-1,-1,-1,-1,-1,0
24447,618,48,The Last Samurai,2003,R,154 min,"Action, Drama, History",Edward Zwick,"Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton",$111.11M,The Human Stain,2003,R,-1,Drama,Robert Benton,Nicole Kidman,"$19,379,387",0
47145,713,103,The Grand Budapest Hotel,2014,R,99 min,"Adventure, Comedy, Drama",Wes Anderson,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody",$59.10M,By the Gun,2014,R,109 minutes,Drama,James Mottern,Ben Barnes,-1,0
64148,1944,134,In the Company of Men,1997,R,97 min,"Comedy, Drama",Neil LaBute,"Aaron Eckhart,Matt Malloy,Stacy Edwards,Michael Martin",$2.86M,The Myth of Fingerprints,1997,R,-1,-1,-1,-1,-1,0
67767,4204,140,The Legend of 1900,1998,R,165 min,"Drama, Music, Romance",Giuseppe Tornatore,"Tim Roth,Pruitt Taylor Vince,Bill Nunn,Clarence Williams III",$0.26M,The Butcher Boy,1998,R,-1,Drama,Neil Jordan,-1,-1,0
68518,1213,140,The Red Violin,1998,R,130 min,"Drama, Music, Mystery",François Girard,"Carlo Cecchi,Jean-Luc Bideau,Christoph Koncz,Jason Flemyng",$9.47M,The Butcher Boy,1998,R,-1,Drama,Neil Jordan,-1,-1,0
115978,3122,331,Bride of Re-Animator,1989,R,96 min,"Comedy, Horror, Sci-Fi",Brian Yuzna,"Jeffrey Combs,Bruce Abbott,Claude Earl Jones,Fabiana Udenio",-1,My Left Foot: The Story of Christy Brown,1989,R,-1,Drama,Jim Sheridan,Daniel Day-Lewis,-1,0
140856,3771,450,The Great Beauty,2013,Not Rated,141 min,Drama,Paolo Sorrentino,"Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso",$2.85M,My Brother the Devil,2013,Not Rated,111 minutes,Drama,Sally El Hosaini,"James Floyd,Aymen Hamdouchi,Anthony Welsh","$132,056",0
147603,178,487,The Departed,2006,R,151 min,"Crime, Drama, Thriller",Martin Scorsese,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg",$132.38M,Brothers of the Head,2006,R,-1,-1,-1,-1,-1,0
154795,1996,493,Rumble in the Bronx,1995,R,87 min,"Action, Comedy, Crime",Stanley Tong,"Jackie Chan,Anita Mui,Françoise Yip,Bill Tung",$32.39M,The Brothers McMullen,1995,R,-1,Drama,Edward Burns,-1,-1,0
159046,677,516,Walk the Line,2005,PG-13,136 min,"Biography, Drama, Music",James Mangold,"Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick",$119.52M,The Brothers Grimm,2005,PG-13,120 minutes,Adventure,Terry Gilliam,"Matt Damon,Heath Ledger,Lena Headey,Monica Bellucci","$105,299,638",0
160593,3016,517,The Bank Job,2008,R,111 min,"Crime, Drama, Romance",Roger Donaldson,"Jason Statham,Saffron Burrows,Stephen Campbell Moore,Daniel Mays",$30.03M,The Brotherhood V: Alumni,2008,R,-1,-1,-1,-1,-1,0
181976,1490,569,A Bronx Tale,1993,R,121 min,"Crime, Drama",Robert De Niro,"Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra",$17.27M,A Bronx Tale,1993,R,-1,Drama,Robert De Niro,Robert De Niro,-1,1
240159,3139,704,The Boy in the Striped Pajamas,2008,PG-13,94 min,"Drama, War",Mark Herman,"Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien",$9.03M,The Mummy: Tomb of the Dragon Emperor,2008,PG-13,111 minutes,Adventure,Rob Cohen,"Brendan Fraser,Jet Li,Maria Bello","$405,760,225",0
267345,2967,776,Ruggles of Red Gap,1935,Not Rated,90 min,"Comedy, Romance",Leo McCarey,"Charles Laughton,Mary Boland,Charles Ruggles,Zasu Pitts",-1,Bride of Frankenstein,1935,Not Rated,75 minutes,Horror,-1,-1,-1,0
308396,2228,920,The Spectacular Now,2013,R,95 min,"Comedy, Drama, Romance",James Ponsoldt,"Miles Teller,Shailene Woodley,Kyle Chandler,Jennifer Jason Leigh",$6.85M,The Break Up Man,2013,R,-1,-1,-1,-1,-1,0
328845,3921,992,We're the Millers,2013,R,110 min,"Comedy, Crime",Rawson Marshall Thurber,"Jason Sudeikis,Jennifer Aniston,Emma Roberts,Ed Helms",$150.39M,Cutie and the Boxer,2013,R,82 minutes,Documentary,Zachary Heinzerling,-1,"$204,934",0
336374,2318,1012,The Twilight Samurai,2002,-1,129 min,"Drama, History",Yôji Yamada,"Hiroyuki Sanada,Rie Miyazawa,Nenji Kobayashi,Ren Osugi",-1,The Movie Hero,2002,-1,-1,Romantic Comedy,Brad T. Gottfred,-1,-1,0
407174,1214,1155,The Machinist,2004,R,101 min,"Drama, Thriller",Brad Anderson,"Christian Bale,Jennifer Jason Leigh,Aitana Sánchez-Gijón,John Sharian",$1.08M,The Mother,2004,R,-1,Drama,-1,-1,"$3,038,677",0
417903,660,1174,The 40-Year-Old Virgin,2005,R,116 min,"Comedy, Romance",Judd Apatow,"Steve Carell,Catherine Keener,Paul Rudd,Romany Malco",$109.45M,The Boys of Baraka,2005,R,-1,Documentary,-1,-1,-1,0
466579,3049,1270,The House of the Devil,2009,R,95 min,Horror,Ti West,"Jocelin Donahue,Tom Noonan,Mary Woronov,Greta Gerwig",$0.10M,The Cry of the Owl,2009,R,-1,Thriller/Suspense,-1,-1,-1,0
476194,2934,1295,The Jackal,1997,R,124 min,"Action, Crime, Drama",Michael Caton-Jones,"Bruce Willis,Richard Gere,Sidney Poitier,Diane Venora",$54.93M,The Boxer,1997,R,-1,Drama,Jim Sheridan,Daniel Day-Lewis,-1,0
482171,3218,1310,The Great Gatsby,2013,PG-13,143 min,"Drama, Romance",Baz Luhrmann,"Leonardo DiCaprio,Carey Mulligan,Joel Edgerton,Tobey Maguire",$144.84M,The Mortal Instruments: City of Bones,2013,PG-13,130 minutes,Adventure,Harald Zwart,-1,"$75,965,567",0
482370,3805,1310,"Batman: The Dark Knight Returns, Part 2",2013,PG-13,76 min,"Animation, Action, Adventure",Jay Oliva,"Peter Weller,Ariel Winter,Michael Emerson,David Selby",-1,The Mortal Instruments: City of Bones,2013,PG-13,130 minutes,Adventure,Harald Zwart,-1,"$75,965,567",0
489654,2170,1330,Bowling for Columbine,2002,R,120 min,"Documentary, Crime, Drama",Michael Moore,"Michael Moore,Charlton Heston,Marilyn Manson,Salvador Allende",$21.24M,Bowling for Columbine,2002,R,-1,Documentary,Michael Moore,-1,"$58,240,487",1
494125,1583,1338,The Aviator,2004,PG-13,170 min,"Biography, Drama, History",Martin Scorsese,"Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly",$102.61M,The Bourne Supremacy,2004,PG-13,108 minutes,Thriller/Suspense,Paul Greengrass,Matt Damon,"$288,587,450",0
508877,237,1376,Scott Pilgrim vs. the World,2010,PG-13,112 min,"Action, Comedy, Romance",Edgar Wright,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,Alison Pill",$31.49M,The Bounty Hunter,2010,PG-13,111 minutes,Romantic Comedy,Andy Tennant,"Jennifer Aniston,Gerard Butler","$135,808,837",0
509320,889,1376,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146 min,"Adventure, Family, Fantasy",David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy",$295.98M,The Bounty Hunter,2010,PG-13,111 minutes,Romantic Comedy,Andy Tennant,"Jennifer Aniston,Gerard Butler","$135,808,837",0
513686,1159,1385,The Babadook,2014,Not Rated,93 min,"Drama, Horror",Jennifer Kent,"Essie Davis,Noah Wiseman,Daniel Henshall,Hayley McElhinney",$0.92M,More Than the Rainbow,2014,Not Rated,83 minutes,Documentary,Dan Wechsler,-1,-1,0
520550,3684,1410,The Class,2008,PG-13,128 min,Drama,Laurent Cantet,"François Bégaudeau,Agame Malembo-Emene,Angélica Sancio,Arthur Fogel",$3.77M,The Curious Case of Benjamin Button,2008,PG-13,167 minutes,Drama,David Fincher,"Brad Pitt,Cate Blanchett","$329,631,958",0
543220,1253,1499,Harry Potter and the Chamber of Secrets,2002,PG,161 min,"Adventure, Family, Fantasy",Chris Columbus,"Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris",$261.99M,The Crocodile Hunter: Collision Course,2002,PG,90 minutes,Adventure,-1,-1,"$33,436,931",0
547112,321,1519,Guardians of the Galaxy,2014,PG-13,121 min,"Action, Adventure, Sci-Fi",James Gunn,"Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana",$333.18M,The Monuments Men,2014,PG-13,118 minutes,Drama,George Clooney,"George Clooney,Matt Damon,Bill Murray,John Goodman,Jean Dujardin,Bob Balaban,Hugh Bonneville","$158,702,748",0
557826,3049,1546,The House of the Devil,2009,R,95 min,Horror,Ti West,"Jocelin Donahue,Tom Noonan,Mary Woronov,Greta Gerwig",$0.10M,Born of Earth,2009,R,-1,-1,-1,-1,-1,0
564388,2938,1558,Murder in the First,1995,R,122 min,"Drama, Thriller",Marc Rocco,"Christian Slater,Kevin Bacon,Gary Oldman,Embeth Davidtz",$17.38M,A Month by the Lake,1995,R,-1,Romantic Comedy,-1,-1,-1,0
571074,913,1572,Under the Skin,2013,R,108 min,"Drama, Sci-Fi, Thriller",Jonathan Glazer,"Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell",$2.61M,Axe Giant: The Wrath of Paul Bunyan,2013,R,90 minutes,Horror,Gary Jones,-1,-1,0
571107,995,1572,The World's End,2013,R,109 min,"Action, Comedy, Sci-Fi",Edgar Wright,"Simon Pegg,Nick Frost,Martin Freeman,Rosamund Pike",$26.00M,Axe Giant: The Wrath of Paul Bunyan,2013,R,90 minutes,Horror,Gary Jones,-1,-1,0
585753,4286,1622,The Loved Ones,2009,R,84 min,"Horror, Thriller",Sean Byrne,"Xavier Samuel,Robin McLeavy,Victoria Thaine,Jessica McNamee",-1,Crimes of the Past,2009,R,-1,-1,-1,-1,-1,0
591141,2,1652,"Monsters, Inc.",2001,G,92 min,"Animation, Adventure, Comedy",Pete Docter,"David Silverman,Lee Unkrich,Billy Crystal,John Goodman,Mary Gibbs,Steve Buscemi",$289.92M,"Monsters, Inc.",2001,G,92 minutes,Adventure,David Silverman,"John Goodman,Billy Crystal","$559,757,719",1
608063,3239,1713,The Beach,2000,R,119 min,"Adventure, Drama, Romance",Danny Boyle,"Leonardo DiCaprio,Daniel York,Patcharawan Patarakijjanon,Virginie Ledoyen",$39.79M,The Boondock Saints,2000,R,-1,Action,-1,-1,"$411,874",0
609991,4286,1715,The Loved Ones,2009,R,84 min,"Horror, Thriller",Sean Byrne,"Xavier Samuel,Robin McLeavy,Victoria Thaine,Jessica McNamee",-1,The Boondock Saints 2: All Saints Day,2009,R,90 minutes,Action,-1,-1,"$10,629,320",0
611602,4210,1723,Beasts of No Nation,2015,Not Rated,137 min,"Drama, War",Cary Joji Fukunaga,"Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor,Andrew Adote",$0.08M,"Monster High: Scaris, City of Frights",2015,Not Rated,61 minutes,Adventure,Dustin McKanzie,-1,-1,0
623996,4125,1760,The Bourne Legacy,2012,PG-13,135 min,"Action, Adventure, Mystery",Tony Gilroy,"Jeremy Renner,Rachel Weisz,Edward Norton,Scott Glenn",$113.20M,The Avengers,2012,PG-13,143 minutes,Adventure,Joss Whedon,"Tom Hiddleston,Robert Downey, Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Jeremy Renner,Samuel L. Jackson","$1,519,479,547",0
633302,1741,1782,The Hobbit: The Desolation of Smaug,2013,PG-13,161 min,"Adventure, Fantasy",Peter Jackson,"Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott",$258.37M,The Book Thief,2013,PG-13,127 minutes,Drama,Brian Percival,"Geoffrey Rush,Sophie Nelisse","$76,086,711",0
642444,713,1803,The Grand Budapest Hotel,2014,R,99 min,"Adventure, Comedy, Drama",Wes Anderson,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody",$59.10M,The Purge: Anarchy,2014,R,103 minutes,Thriller/Suspense,James DeMonaco,Frank Grillo,"$111,534,881",0
654979,2282,1839,The Kids Are All Right,2010,R,106 min,"Comedy, Drama, Romance",Lisa Cholodenko,"Annette Bening,Julianne Moore,Mark Ruffalo,Mia Wasikowska",$20.81M,The Book of Eli,2010,R,118 minutes,Action,Albert Hughes,Denzel Washington,"$158,750,817",0
667722,1138,1904,Bonnie and Clyde,1967,R,111 min,"Action, Biography, Crime",Arthur Penn,"Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman",-1,Bonnie and Clyde,1967,R,111 minutes,Drama,Arthur Penn,-1,-1,1
691113,2986,1975,The Money Pit,1986,PG,91 min,Comedy,Richard Benjamin,"Tom Hanks,Shelley Long,Alexander Godunov,Maureen Stapleton",$37.50M,The Money Pit,1986,PG,91 minutes,Comedy,Richard Benjamin,"Tom Hanks,Shelley Long",-1,1
